title,body,labels,assignee,milestone,priority,difficulty
"タスク1: 環境構築","# 概要
[イマココSNS用ベース](https://github.com/prum-jp/imakoko-base)を使用してチーム開発環境を構築する

## 手順
1. 上記テンプレートを利用して、メンバー内の誰かの個人のリポジトリにプロジェクトを作成する（private）
2. メンバー全員、担当メンターを招待する
3. それぞれ環境構築を実施する
4. ローカルで初期画面が表示されたらOK

# 完了条件
- [ ] メンバー全員が上記の環境構築を完了する","",,,medium,Required,Required
"タスク2: Seed作成","# 概要

Users, Follows, Posts, Commentsのseedを作成する


# 完了条件

* [ ] Users、Follows、Posts、Commentsのseedを作成する
* [ ] チーム内レビュー
* [ ] mainブランチにマージ","",,,medium,Required
"タスク3: ユーザー登録機能実装","# 概要

要件：

新規登録機能を実装する

バリデーション・エラーメッセージはチームで検討し、メンターに共有のうえ実装をする
参考資料：[仕様確認資料](https://docs.google.com/spreadsheets/d/1Ihmt6zirgmW8lPBM_Omy375X7Wkn5jZ07Do1gI16Z4Q/edit?gid=961004626#gid=961004626)
* 「ログインする」をクリックするとログイン画面に遷移する
* 新規登録に成功するとユーザーのホームに遷移する
* プロフィール画像が設定されなかった場合、初期画像（PRUMのロゴ画像）が設定される。またサムネイル画像は初期表示としてグレー背景になる。

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=24-57&mode=design&t=b6ZlLFIYKdS56SVZ-0)

# 完了条件

子課題が全て完了すること","",,,medium,Required
"タスク4: ログイン機能実装","# 概要

要件：

ログイン機能を実装する
* メールアドレス（emai）もしくはユーザー名（user_name）とパスワードでログインできる
* バリデーションはチームで検討し、メンターに共有のうえ実装する
参考：[仕様確認資料](https://docs.google.com/spreadsheets/d/1Ihmt6zirgmW8lPBM_Omy375X7Wkn5jZ07Do1gI16Z4Q/edit?gid=961004626#gid=961004626)
* ログインが成功するとユーザーのホームへ遷移する
* ログインに失敗するとエラーメッセージを表示する。
* 「新規申し込みはこちらへ」をクリックすると新規登録画面に遷移する

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=24-32&mode=design&t=b6ZlLFIYKdS56SVZ-0)

# 完了条件

子課題を全て完了する","",,,medium,Required
"タスク5: ログアウト","# 概要

要件：

ログアウト機能を実装する
* サイドバーから「ログアウト」ボタンをクリックするとモーダルが出現し、ログアウトするかキャンセルするか選択できる
* 「ログアウト」ボタンをクリックするとログインページにリダイレクトする
* 「キャンセル」ボタンをクリックすると元の画面に戻る

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=58-327&mode=design&t=WCt5rxtAIB1Wj5sF-0)


# 完了条件

子課題が全て完了すること","",,,medium,Required
"タスク6: サイドバーviewだけ","# 概要
サイドバーのviewだけ実装する

## 要件
- サイドバーのviewだけ実装

# 完了条件
- [ ] チーム内レビュー
- [ ] mainブランチにマージ","",,,medium,Required
"タスク7: ログインユーザーのホーム","# 概要

要件：

* ログインユーザーのアイコンをクリックすると遷移する
* ログインユーザーのホーム
* 赤枠以外の部分は別チケットで対応する

[Figma](https://www.figma.com/design/92zht7KlFzNk3wqGAdKp9S/%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%83%BC%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3?node-id=81-2203)

# 完了条件

子課題が全て完了すること","",,,medium,Required
"タスク8: ユーザーのツイート一覧","# 概要

要件：

* ログインユーザーの投稿したツイートが一覧で表示される（返信は除く）
* 日時の降順で表示される

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=56-105&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題を全て完了する","",,,medium,Required
"タスク9: ユーザーのツイートと返信一覧","# 概要

要件：
* ログインユーザーの投稿したツイートと返信が一覧で表示される
* 日付の降順で表示される

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=81-2203&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題が全て完了する","",,,medium,Required
"タスク10: TOP","# 概要

要件：

* TOP画面
* 自分の投稿、フォロワーの投稿、非フォロワーなど含む全ての投稿が表示される
* 日付の降順

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=41-463&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題が全て完了すること","",,,medium,Required
