id,title,description,priority,status,assignee,labels
1,環境構築,"# 概要
[イマココSNS用ベース](https://github.com/prum-jp/imakoko-base)
1. 上記テンプレートを利用して、メンバー内の誰かの個人のリポジトリにプロジェクトを作成する（private）
2. メンバー全員、担当メンターを招待する
3. それぞれ環境構築を実施する
4. ローカルで初期画面が表示されたらOK
# 完了条件
メンバー全員が上記の環境構築を完了する",High,Product Backlog,,"task,development"
2,データベース作成,"# 概要
DB設計書通りのデータベースを作成する
# 完了条件
* [ ] チーム内レビューが完了する",High,Product Backlog,,"task,development"
3,ルーティング定義書作成,"# 概要
各チームのGoogleドライブにある「ルーティング定義書」にルーティングを定義する
# 完了条件
* [ ] チーム内レビューが完了する",High,Product Backlog,,"task,development"
4,Users、Followsのseed作成,"# 概要
Users、Followsのseedを作成する
# 完了条件
* [ ] Users、Followsのseedを作成する
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",High,Product Backlog,,"task,development"
5,ユーザー登録機能,"# 概要
 * ユーザー登録機能を実装する
要件：
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=24-57&mode=design&t=b6ZlLFIYKdS56SVZ-0)
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",High,Product Backlog,,"task,development"
6,ログイン機能,"# 概要
 * ログイン機能を実装する
要件：
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=24-32&mode=design&t=b6ZlLFIYKdS56SVZ-0)
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",High,Product Backlog,,"task,development"
7,ログアウト機能,"# 概要
要件：
* ログアウト機能を実装する
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=58-327&mode=design&t=WCt5rxtAIB1Wj5sF-0)
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",High,Product Backlog,,"task,development"
8,ナビゲーションバー実装,"# 概要
![image][pasted-2023.08.02-20.58.10.png]
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",High,Product Backlog,,"task,development"
9,ユーザーホーム画面,"# 概要
要件：
* ログインユーザーのアイコンをクリックすると遷移する
* ログインユーザーのホーム
* 赤枠以外の部分は別チケットで対応する
![image][pasted-2023.08.02-21.01.12.png]
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",High,Product Backlog,,"task,development"
10,ユーザーツイート一覧,"# 概要
要件：
* ログインユーザーの投稿したツイートが一覧で表示される（返信は除く）
* 日時の降順で表示される
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=56-105&mode=design&t=WCt5rxtAIB1Wj5sF-0)
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",High,Product Backlog,,"task,development"
11,ユーザー返信一覧,"# 概要
要件：
* ログインユーザーの投稿したツイートと返信が一覧で表示される
* 日付の降順で表示される
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=81-2203&mode=design&t=WCt5rxtAIB1Wj5sF-0)
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
12,TOP画面（全投稿表示）,"# 概要
要件：
* TOP画面
* 自分の投稿、フォロワーの投稿、非フォロワーなど含む全ての投稿が表示される
* 日付の降順
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=41-463&mode=design&t=WCt5rxtAIB1Wj5sF-0)
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
13,TOP画面からツイート投稿,"# 概要
要件：
* TOP上部からツイートを入力し、投稿できる
* 投稿したら一緒に現在地のGoogleMap画面が添付される
* 現在地の取得には外部APIを利用すること（例：Google Maps API）
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=115-23&mode=design&t=WCt5rxtAIB1Wj5sF-0)
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
14,サイドバーからツイート投稿,"# 概要
要件：
* サイドバー「ツイートをする」からツイートを入力し、投稿できる
* 投稿したら一緒に現在地のGoogleMap画面が添付される
* 現在地の取得には外部APIを利用すること（例：Google Maps API）
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=66-981&mode=design&t=WCt5rxtAIB1Wj5sF-0)
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
15,ツイートへのコメント機能,"# 概要
要件：
* ツイートに対してコメントができる
* コメントには現在地は添付されない
[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=115-118&mode=design&t=WCt5rxtAIB1Wj5sF-0)
![image][pasted-2023.08.03-22.51.17.png]
# 完了条件
* [ ] チーム内レビュー
* [ ] mainブランチにマージ",Medium,Product Backlog,,"task,development"
